dataset,columna,n_labels_incluyendo_na,top_10_labels
df_raw_meli_alq,search_url,49,https://inmuebles.mercadolibre.com.ar/departamentos/alquiler/capital-federal/: 2017 | https://inmuebles.mercadolibre.com.ar/departamentos/alquiler/capital-federal/palermo/: 1090 | https://inmuebles.mercadolibre.com.ar/departamentos/alquiler/capital-federal/recoleta/: 916 | https://inmuebles.mercadolibre.com.ar/departamentos/alquiler/capital-federal/belgrano/: 796 | https://inmuebles.mercadolibre.com.ar/departamentos/alquiler/capital-federal/caballito/: 722 | https://inmuebles.mercadolibre.com.ar/departamentos/alquiler/capital-federal/puerto-madero/: 649 | https://inmuebles.mercadolibre.com.ar/departamentos/alquiler/capital-federal/villa-urquiza/: 445 | https://inmuebles.mercadolibre.com.ar/departamentos/alquiler/capital-federal/almagro/: 400 | https://inmuebles.mercadolibre.com.ar/departamentos/alquiler/capital-federal/nunez/: 394 | https://inmuebles.mercadolibre.com.ar/departamentos/alquiler/capital-federal/flores/: 325
df_raw_meli_alq,tipo_superficie,3,cubierta: 11027 | total: 402 | <NA>: 50
df_raw_meli_alq,moneda,2,ARS: 8232 | USD: 3247
df_raw_meli_alq,estado_entrega,2,<NA>: 11478 | entrega_inmediata: 1
df_raw_meli_alq,_archivo_origen,2,data\raw\mercadolibre_inmuebles_alquiler\meli_alq_2.csv: 9462 | data\raw\mercadolibre_inmuebles_alquiler\meli_alq_1.csv: 2017
df_raw_meli_alq,fuente,1,Mercado Libre: 11479
df_raw_meli_alq,tipo_propiedad,1,departamento: 11479
df_raw_meli_alq,tipo_operacion,1,alquiler: 11479
df_raw_meli_alq,localidad,1,Capital Federal: 11479
df_raw_meli_alq,provincia,1,Capital Federal: 11479
df_raw_meli_alq,imagen_extension,1,webp: 11479
df_raw_meli_alq_temp,scraped_at_utc,6190,2026-09-03T17:22:27.502870+00:00: 1 | 2026-09-03T17:22:27.504281+00:00: 1 | 2026-09-03T17:22:27.505059+00:00: 1 | 2026-09-03T17:22:27.506094+00:00: 1 | 2026-09-03T17:22:27.507157+00:00: 1 | 2026-09-03T17:22:27.507903+00:00: 1 | 2026-09-03T17:22:27.508680+00:00: 1 | 2026-09-03T17:22:27.509940+00:00: 1 | 2026-09-03T17:22:27.510713+00:00: 1 | 2026-09-03T17:22:27.511560+00:00: 1
df_raw_meli_alq_temp,texto_tarjeta,4561,"Departamento en alquiler temporal Monoambiente - Alquiler Temporal - Zona Recoleta US$ 850 1 amb. 1 baño 30 m² cubiertos Agüero Al 1400, Recoleta, Capital Federal: 6 | Departamento en alquiler temporal Departamento En Palermo US$ 900 1 amb. 1 baño 72 m² cubiertos Thames Al 2200, Palermo, Capital Federal: 6 | Departamento en alquiler temporal Departamento Alquiler Temporario Mensual Amoblado San Nicolas 1 Amb Alternativa Propiedades US$ 700 1 amb. 1 baño 30 m² cubiertos Rivadavia Al 1300 Entre Uruguay Y Talcahuano, San Nicolás, Capital Federal Destacado: 4 | Departamento en alquiler temporal Departamento En Puerto Madero US$ 3.000 2 ambs. 1 baño 62 m² cubiertos Juana Manso Al 1900, Puerto Madero, Capital Federal: 4 | Departamento en alquiler temporal Excelente 2 Ambientes Con Balcón, Vista Abierta Y Amenities Premium En San Telmo US$ 1.000 2 ambs. 1 baño 42 m² cubiertos Piedras 1141, San Telmo, Capital Federal: 4 | Departamento en alquiler temporal Loft. Amueblado. 60m2. Amenities. Pale"
