,property_id,precio,comuna,latitud,longitud,ambientes,dormitorios,banios,toilettes,camas,capacidad,seller_id,rating,reviews,cantidad_imagenes,superficie_ref_m2,ambientes_ref,banios_ref,dormitorios_ref,precio_noche_estimado,precio_mensual_estimado,precio_m2_ref,titulo_is_null,descripcion_is_null,barrio_is_null,barrio_norm_is_null,comuna_is_null,ambientes_is_null,dormitorios_is_null,banios_is_null,toilettes_is_null,camas_is_null,rating_is_null,reviews_is_null,superficie_ref_m2_is_null,ambientes_ref_is_null,banios_ref_is_null,dormitorios_ref_is_null,precio_m2_ref_is_null
capacidad,0.0006425312725349915,0.030924065606656215,-0.031749023707683684,-0.04079148900058748,0.024419229676278756,0.6724927733621701,0.6724927733621694,0.6070188267608139,0.17839492755434835,0.7871698720721395,1.0,0.006884635037392115,-0.04108785314877151,-0.008270833558832198,0.19066246123870284,,0.6724927733621701,0.6070188267608139,0.6724927733621694,0.030924065606656215,0.030924065606656174,,-0.0044081104422197806,-0.008778875462571766,0.008187223709524046,0.008187223709524046,0.008187223709524046,-0.004408110442219754,-0.004408110442219754,-0.0076366633837850455,-0.0076366633837850455,-0.011130079718663331,0.012017350364288597,0.012017350364288597,,-0.004408110442219754,-0.0076366633837850455,-0.004408110442219754,
seller_id,0.15884411634433324,-0.007761532525610544,-0.03172411012869139,-0.027504304727458465,0.02547571116907156,0.007968879767700946,0.007968879767701142,-0.017689348599447135,-0.02865650054662315,-0.00938343482294581,0.006884635037392115,1.0,-0.00038181331107954065,-0.061555211710146156,-0.018812864090978338,,0.00796887976770095,-0.017689348599447145,0.00796887976770114,-0.007761532525610544,-0.007761532525610558,,-0.0019501956564173847,-0.007934561676579526,0.022870249630689347,0.022870249630689347,0.022870249630689347,-0.0019501956577010159,-0.0019501956577010159,-0.0033785423610342234,-0.0033785423610342234,-0.019145573321231346,0.15699432477907768,0.15699432477907768,,-0.0019501956577010159,-0.0033785423610342234,-0.0019501956577010159,
rating,-0.034591890666442804,-0.005378377172149638,0.0620413864151197,0.0381100696288005,-0.054872599359946796,-0.015434557401057616,-0.015434557401057734,-0.008124635154765738,0.02098111851589638,-0.03618327850226871,-0.04108785314877151,-0.00038181331107954065,1.0,0.10859019518087175,0.0891139297904276,,-0.015434557401057591,-0.008124635154765721,-0.01543455740105776,-0.005378377172149632,-0.005378377172149623,,0.0005065741356067769,-0.011632121417618314,0.020652928376456794,0.020652928376456794,0.020652928376456794,0.005048663663242877,0.005048663663242877,0.007842829487694688,0.007842829487694688,-0.01261757035789108,,,,0.005048663663242877,0.007842829487694688,0.005048663663242877,
reviews,-0.3605648185526795,-0.019440751399947543,0.04674605605203404,0.01707982639441638,0.03222105309639082,-0.07632326417278117,-0.07632326417278053,-0.03785018848760513,-0.007159843741886469,-0.025522123444824015,-0.008270833558832198,-0.061555211710146156,0.10859019518087175,1.0,0.09915396206992898,,-0.07632326417278115,-0.037850188487605116,-0.07632326417278053,-0.01944075139994754,-0.019440751399947526,,-0.010036794793723753,-0.020745477128105573,-0.017746922160571867,-0.017746922160571867,-0.017746922160571867,0.023807459105457108,0.023807459105457108,0.003967940466580016,0.003967940466580016,-0.00019344233509253182,,,,0.023807459105457108,0.003967940466580016,0.023807459105457108,
cantidad_imagenes,-0.04888928552934155,0.006166020266558901,0.059403802063715656,0.028656331935802297,-0.00036858989243809906,0.1232985008318903,0.1232985008318892,0.14998126973015158,0.14682737613102623,0.12948812851551458,0.19066246123870284,-0.018812864090978338,0.0891139297904276,0.09915396206992898,1.0,,0.12329850083189035,0.14998126973015152,0.12329850083188917,0.006166020266558903,0.0061660202665588405,,-0.005544931875293032,-0.015215050395857407,-0.021801064198936047,-0.021801064198936047,-0.021801064198936047,0.0043209849660330955,0.0043209849660330955,-0.0071957198122020675,-0.0071957198122020675,0.007671023594921685,-0.1620034138607519,-0.1620034138607519,,0.0043209849660330955,-0.0071957198122020675,0.0043209849660330955,
superficie_ref_m2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ambientes_ref,-0.023361360089910937,0.02186325947477106,-0.05664918915961553,-0.02660848483425063,0.037850548946431195,1.0,0.9999999999999999,0.6885855903875606,0.20463524876282935,0.6522147135295218,0.6724927733621701,0.00796887976770095,-0.015434557401057591,-0.07632326417278115,0.12329850083189035,,1.0,0.6885855903875606,0.9999999999999999,0.02186325947477106,0.02186325947477104,,-0.0008477117245386537,-0.0034489991544640834,0.019392481726101723,0.019392481726101723,0.019392481726101723,,,0.003423641158190626,0.003423641158190626,-0.027684596912931514,0.07196237947037087,0.07196237947037087,,,0.003423641158190626,,
banios_ref,-0.024810817007722735,0.028223902833904874,-0.020916117786761848,-0.011112071311688503,0.032748050720221286,0.6885855903875606,0.6885855903875608,1.0,0.0508765295444329,0.6064218931262142,0.6070188267608139,-0.017689348599447145,-0.008124635154765721,-0.037850188487605116,0.14998126973015152,,0.6885855903875606,1.0,0.6885855903875608,0.028223902833904874,0.02822390283390473,,-0.003067702346666895,0.0029928431056220296,-0.0028637537629217715,-0.0028637537629217715,-0.0028637537629217715,-0.003067702346666892,-0.003067702346666892,,,0.0011763409185902636,0.05825568753856913,0.05825568753856913,,-0.003067702346666892,,-0.003067702346666892,
dormitorios_ref,-0.023361360089910802,0.021863259474771066,-0.056649189159616545,-0.026608484834252304,0.03785054894643328,0.9999999999999999,1.0,0.6885855903875608,0.20463524876282915,0.6522147135295224,0.6724927733621694,0.00796887976770114,-0.01543455740105776,-0.07632326417278053,0.12329850083188917,,0.9999999999999999,0.6885855903875608,1.0,0.02186325947477106,0.021863259474771066,,-0.0008477117245386482,-0.0034489991544641254,0.019392481726102275,0.019392481726102275,0.019392481726102275,,,0.0034236411581906826,0.0034236411581906826,-0.027684596912931642,0.07196237947037161,0.07196237947037161,,,0.0034236411581906826,,
precio_noche_estimado,0.018893912465836212,1.0,0.013804246332109438,-0.023075025416720542,-0.004461566657126497,0.02186325947477106,0.02186325947477106,0.028223902833904874,-0.00036123634948959267,0.022072497100128704,0.030924065606656215,-0.007761532525610544,-0.005378377172149632,-0.01944075139994754,0.006166020266558903,,0.02186325947477106,0.028223902833904874,0.02186325947477106,1.0,0.9999999999999952,,-0.0006534608789075693,-0.0024881390421381874,-0.0033547143983481535,-0.0033547143983481535,-0.0033547143983481535,-0.0009511101300189486,-0.0009511101300189486,-0.0013467497330760072,-0.0013467497330760072,-0.0067373339827417784,0.06603730454574665,0.06603730454574665,,-0.0009511101300189486,-0.0013467497330760072,-0.0009511101300189486,
