dataset,columna,count,mean,std,min,1%,5%,25%,50%,75%,95%,99%,max
df_raw_meli_vtas,pileta,44013.0,0.01685865539726899,0.12874322399490773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
df_raw_meli_vtas,parrilla,44013.0,0.025674232613091586,0.1581633167395236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
df_raw_meli_vtas,cochera_mencionada,44013.0,0.10419648740144957,0.3055187395076337,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
df_raw_meli_vtas,amenities_mencionadas,44013.0,0.07627291936473314,0.2654373032524517,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
df_raw_meli_vtas,cantidad_atributos,44013.0,2.96666893872265,0.19067267646840538,0.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
df_raw_meli_vtas,completitud_pct,44013.0,88.1075454979211,6.553722898846609,42.9,71.4,85.7,85.7,85.7,85.7,100.0,100.0,100.0
df_raw_argenprop,pagina_origen,162.0,2.5185185185185186,1.1268723396380222,1.0,1.0,1.0,2.0,3.0,4.0,4.0,4.0,4.0
df_raw_argenprop,http_status,162.0,200.0,0.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0
df_raw_argenprop,parse_ok,162.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
df_raw_argenprop,descripcion,0.0,,,,,,,,,,,
df_raw_argenprop,estado_publicacion,0.0,,,,,,,,,,,
df_raw_argenprop,fecha_publicacion,0.0,,,,,,,,,,,
df_raw_argenprop,inmobiliaria,0.0,,,,,,,,,,,
df_raw_argenprop,seller_id,0.0,,,,,,,,,,,
df_raw_argenprop,precio,162.0,522855.5925925926,561689.1362036916,900.0,1100.0,2405.0,115500.0,264500.0,815000.0,1500000.0,2555999.9999999944,3500000.0
df_raw_argenprop,expensas,11.0,152763.9090909091,110853.3846487824,3.0,42.7,201.5,77000.0,162500.0,237500.0,300000.0,316000.0,320000.0
df_raw_argenprop,precio_m2_calculado,149.0,9691.793422818793,9481.240530779984,13.48,15.686399999999999,21.232,2500.0,3461.54,18478.26,26175.827999999998,31529.075600000007,33333.33
