dataset,columna,tipo_dato,tipo_variable,n_filas,nulos_iniciales,pct_nulos_iniciales,invalidos_tipo_faltante,pct_invalidos_tipo_faltante,min_cuantitativa,max_cuantitativa,n_labels_categorica,comentario_usabilidad_calidad
df_raw_meli_vtas,dormitorios_min,float64,cuantitativa,44013,43810,99.54,0,0.0,1.0,31.0,,baja: faltantes muy altos; usar solo como referencia secundaria
df_raw_meli_vtas,dormitorios_max,float64,cuantitativa,44013,43810,99.54,0,0.0,1.0,31.0,,baja: faltantes muy altos; usar solo como referencia secundaria
df_raw_meli_vtas,posesion,str,categorica/texto/fecha,44013,42733,97.09,0,0.0,,,6.0,baja: faltantes muy altos; usar solo como referencia secundaria
df_raw_meli_vtas,unidades_disponibles,float64,cuantitativa,44013,42733,97.09,0,0.0,1.0,96.0,,baja: faltantes muy altos; usar solo como referencia secundaria
df_raw_meli_vtas,estado_entrega,str,categorica/texto/fecha,44013,41243,93.71,0,0.0,,,4.0,baja: faltantes muy altos; usar solo como referencia secundaria
df_raw_meli_vtas,inmobiliaria,str,categorica/texto/fecha,44013,34891,79.27,0,0.0,,,97.0,media-baja: requiere justificación antes de usar en KPIs
df_raw_zonaprop,descripcion,float64,cuantitativa,980,980,100.0,0,0.0,,,,baja: faltantes muy altos; usar solo como referencia secundaria
df_raw_zonaprop,tipo_propiedad,float64,cuantitativa,980,980,100.0,0,0.0,,,,baja: faltantes muy altos; usar solo como referencia secundaria
df_raw_zonaprop,estado_publicacion,float64,cuantitativa,980,980,100.0,0,0.0,,,,baja: faltantes muy altos; usar solo como referencia secundaria
df_raw_zonaprop,fecha_publicacion,float64,cuantitativa,980,980,100.0,0,0.0,,,,baja: faltantes muy altos; usar solo como referencia secundaria
df_raw_zonaprop,seller_id,float64,cuantitativa,980,980,100.0,0,0.0,,,,baja: faltantes muy altos; usar solo como referencia secundaria
df_raw_zonaprop,altura,float64,cuantitativa,980,980,100.0,0,0.0,,,,baja: faltantes muy altos; usar solo como referencia secundaria
df_raw_zonaprop,unidad,float64,cuantitativa,980,980,100.0,0,0.0,,,,baja: faltantes muy altos; usar solo como referencia secundaria
